metadata_group,metadata_name,metadata_value
stage,stage_name,Stage 6 cure appropriateness screening
stage,stage_role,Pre-cure screening and carry-forward only
stage,screening_repeated_in_stage8,FALSE
stage,run_mode,full
documents,canonical_common_rules,2.General Model Specifications_🇬🇧ENG.md
documents,canonical_framework,5.Model Specification Framework_🇬🇧ENG.md
inputs,stage1_bundle_file,C:/Users/clair/Dropbox/Data Analysis/🟦Stage1/attachments/stage1_backbone_bundle.rds
inputs,stage1_datasets_file,C:/Users/clair/Dropbox/Data Analysis/🟦Stage1/attachments/stage1_analysis_datasets.rds
grids,horizon_vector,1|2|3|4|5|6|7|8|9|10
grids,threshold_vector,0.05|0.10|0.15|0.20
screening,alpha_screening,0.05
screening,xie_bootstrap_reps,499
screening,hsu_bootstrap_reps,199
screening,receus_candidate_families,exponential|weibull|gamma|loglogistic
screening,decision_rule_version,receus_aic_primary_with_presence_and_xie_modifiers_v2
screening,decision_rule_primary_gate,RECeUS-AIC is the primary decision gate
screening,decision_rule_presence_modifier,Presence-only tests can upgrade an unsupportive primary gate to equivocal but cannot create supportive status on their own
screening,decision_rule_xie_modifier,Xie contradiction can downgrade a supportive primary gate to equivocal but cannot create unsupportive status when the primary gate is equivocal
screening,decision_rule_alpha_n_role,Maller-Zhou alpha_n is exported as descriptive follow-up context only and is not used in the final decision gate
screening,hsu_implementation_note,Self-contained pragmatic approximation to the Hsu sup-score test: bootstrap supremum likelihood-ratio screen over Stage-1 formula branches using a Weibull AFT working latency model.
screening,xie_covariate_note,The Xie sufficient follow-up test is implemented in its no-covariate form only and is used only as a contradiction trigger against a supportive primary gate.
screening,merged_site_adjusted_note,"Merged site-adjusted inherits raw-tail Maller-Zhou/Xie/RECeUS metrics from merged site-free, but reruns the HSU working-model branch with site adjustment."
screening,parallel_cores,4
screening,bootstrap_chunk_size,10
screening,runtime_status_mode,append_within_run
outputs,save_folder_rule,Write all outputs into the single user-specified `export_path` without creating extra subfolders.
outputs,carry_forward_join_key,dataset_key
outputs,progress_log_file,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_progress_log.txt
