metadata_group,metadata_name,metadata_value
stage,stage_name,Stage 9
stage,stage_role,Reanalyze remission as a dedicated sensitivity block without hiding remission inside censoring.
stage,model_fitting_allowed,Yes
inputs,stage1_path,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments
inputs,stage1_bundle_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_backbone_bundle.rds
inputs,stage1_datasets_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_analysis_datasets.rds
inputs,stage1_formula_registry_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_formula_registry.csv
inputs,stage1_horizon_registry_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_horizon_registry.csv
inputs,stage1_threshold_registry_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_threshold_registry.csv
inputs,stage1_modeling_registry_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_modeling_registry.csv
inputs,stage1_metadata_registry_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_metadata_registry.csv
event,main_event_definition,status_num == 1
event,main_censoring_definition,"status_num %in% c(0, 2)"
event,remission_sensitive_rule,status_num == 2 treated as remission competing event in dedicated sensitivity block
horizons,horizon_vector,"1,2,3,4,5,6,7,8,9,10"
horizons,projection_reporting_rule,supported_for_reporting = FALSE only when horizon_support_label == projection; projection horizons are shaded in the Stage 9 plot PDF
thresholds,threshold_vector,"0.05,0.10,0.15,0.20"
methods,benchmark_method,Nonparametric Kaplan-Meier main mirror versus Aalen-Johansen transition/remission cumulative incidence benchmark
methods,benchmark_prediction_level,group_assigned benchmark classifier; not an individualized regression model
methods,cause_specific_method,Main censoring-based Cox mirror versus paired cause-specific Cox cumulative incidence
methods,subdistribution_method,Main censoring-based Cox mirror versus Fine-Gray transition subdistribution sensitivity
methods,merged_site_adjusted_benchmark,Enabled
methods,component_annotation_rule,Component availability fields reflect model structure rather than whether remission/event-free numeric columns are missing
outputs,status_summary_file,stage9_status_summary.csv
outputs,benchmark_state_probabilities_file,stage9_benchmark_state_probabilities.csv
outputs,benchmark_subject_predictions_file,stage9_benchmark_subject_horizon_predictions.csv
outputs,benchmark_classification_file,stage9_benchmark_classification.csv
outputs,benchmark_delta_vs_main_file,stage9_benchmark_delta_vs_main.csv
outputs,cause_specific_risk_summary_file,stage9_cause_specific_risk_summary.csv
outputs,cause_specific_subject_predictions_file,stage9_cause_specific_subject_horizon_predictions.csv
outputs,cause_specific_classification_file,stage9_cause_specific_classification.csv
outputs,cause_specific_delta_vs_main_file,stage9_cause_specific_delta_vs_main.csv
outputs,subdistribution_risk_summary_file,stage9_subdistribution_risk_summary.csv
outputs,subdistribution_subject_predictions_file,stage9_subdistribution_subject_horizon_predictions.csv
outputs,subdistribution_classification_file,stage9_subdistribution_classification.csv
outputs,subdistribution_delta_vs_main_file,stage9_subdistribution_delta_vs_main.csv
outputs,stage_metadata_file,stage9_stage_metadata.csv
outputs,export_manifest_file,stage9_export_manifest.csv
outputs,output_bundle_file,stage9_output_bundle.rds
outputs,progress_log_file,stage9_progress_log.txt
runtime,cmprsk_available,TRUE
runtime,elapsed,19.4 sec
outputs,plot_pdf_file,stage9_plots.pdf
outputs,fit_objects_file,stage9_fit_objects.rds
