dataset,subgroup_kind,subgroup_value,group_id,panel_label,analysis_structure,preferred_for_reporting,reporting_priority,reporting_preference_note,summary_view,horizon_year,interpretation_tier,interpretation_note,support_tier_standard,support_tier,support_display_group,support_display_label,horizon_evidence_class,claim_restriction_flag,completeness_plot_status,completeness_plot_note,completeness_plot_alpha,eligible_n,risk_set_n,risk_set_fraction,site_dominance_status,site_dominance_warning_flag,site_dominance_warning_note,completeness_metric,completeness_value
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,transition_only,1,primary-supported,Primary supported horizon with comparatively direct follow-up support.,primary_supported,primary_supported,primary_supported,Primary supported,directly_observed_data_supported,primary_claim_allowed,stable,Displayed without masking.,1,47,28,0.5185185185185185,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,CCI,0.8619749410328039
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,transition_only,1,primary-supported,Primary supported horizon with comparatively direct follow-up support.,primary_supported,primary_supported,primary_supported,Primary supported,directly_observed_data_supported,primary_claim_allowed,stable,Displayed without masking.,1,47,28,0.5185185185185185,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,SPT,0.8798403891243243
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,transition_only,1,primary-supported,Primary supported horizon with comparatively direct follow-up support.,primary_supported,primary_supported,primary_supported,Primary supported,directly_observed_data_supported,primary_claim_allowed,stable,Displayed without masking.,1,47,28,0.5185185185185185,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,percentage_method,0.7659574468085106
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,transition_only,2,sensitivity,Sensitivity horizon for PNU; partly model-dependent and not for primary claims.,sensitivity,sensitivity,secondary_or_sensitivity,Secondary / sensitivity,partly_model_dependent,secondary_or_sensitivity_only,very_sparse,Displayed with caution: very sparse risk set.,0.65,35,1,0.018518518518518517,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,CCI,0.8289763246354377
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,transition_only,2,sensitivity,Sensitivity horizon for PNU; partly model-dependent and not for primary claims.,sensitivity,sensitivity,secondary_or_sensitivity,Secondary / sensitivity,partly_model_dependent,secondary_or_sensitivity_only,very_sparse,Displayed with caution: very sparse risk set.,0.65,35,1,0.018518518518518517,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,SPT,0.8616994230957267
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,transition_only,2,sensitivity,Sensitivity horizon for PNU; partly model-dependent and not for primary claims.,sensitivity,sensitivity,secondary_or_sensitivity,Secondary / sensitivity,partly_model_dependent,secondary_or_sensitivity_only,very_sparse,Displayed with caution: very sparse risk set.,0.65,35,1,0.018518518518518517,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,percentage_method,0.3142857142857143
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,transition_only,3,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,masked_no_risk_set,Masked in completeness plot because the risk set is zero at this horizon.,0,8,0,0,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,CCI,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,transition_only,3,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,masked_no_risk_set,Masked in completeness plot because the risk set is zero at this horizon.,0,8,0,0,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,SPT,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,transition_only,3,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,masked_no_risk_set,Masked in completeness plot because the risk set is zero at this horizon.,0,8,0,0,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,percentage_method,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,transition_only,4,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,0,0,0,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,CCI,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,transition_only,4,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,0,0,0,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,SPT,NA
