dataset,comparison_scope,comparison_family,comparison_id,prediction_level,model_class,model_family,formula_id,formula_name,formula_label,site_branch,interaction_branch,benchmark_core_id,benchmark_label,assignment_variable,sensitivity_method,horizon_id,horizon_year,horizon_days,interpretation_tier,primary_supported_flag,interpretation_note,horizon_support_label,supported_for_reporting,projection_flag,reporting_status,main_model_family,main_variant_id,main_variant_label,main_risk_estimator,sensitivity_model_family,sensitivity_variant_id,sensitivity_variant_label,sensitivity_risk_estimator,n_subjects,mean_main_transition_risk,mean_sensitivity_transition_risk,mean_sensitivity_remission_risk,mean_sensitivity_eventfree_prob,mean_risk_difference_signed,mean_risk_difference_absolute,median_risk_difference_absolute,max_risk_difference_absolute,main_remission_component_available,main_eventfree_component_available,main_component_mode,main_component_note,sensitivity_remission_component_available,sensitivity_eventfree_component_available,sensitivity_component_mode,sensitivity_component_note
PNU,subdistribution_formula,subdistribution,PNU__base,individualized,Stage9_subdistribution,subdistribution,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,fine_gray,year_1,1,365.25,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,primary_supported,TRUE,FALSE,supported,CoxPH,PNU__base__cox_main_mirror,Main censoring mirror: Base,CoxPH_main_mirror,FineGray,PNU__base__fine_gray,Fine-Gray sensitivity: Base,FineGray,54,0.1711033651726387,0.168209455584743,NA,NA,-0.0028939095878956315,0.004427817103748737,0.002713703532463585,0.02486520309619522,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,FALSE,FALSE,transition_only_subdistribution_model,transition_only_subdistribution_model
PNU,subdistribution_formula,subdistribution,PNU__base,individualized,Stage9_subdistribution,subdistribution,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,fine_gray,year_2,2,730.5,sensitivity,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,sensitivity,TRUE,FALSE,supported,CoxPH,PNU__base__cox_main_mirror,Main censoring mirror: Base,CoxPH_main_mirror,FineGray,PNU__base__fine_gray,Fine-Gray sensitivity: Base,FineGray,54,0.3080439666123819,0.28417115308814794,NA,NA,-0.023872813524233986,0.023872813524233986,0.023101277637218642,0.062426776648699445,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,FALSE,FALSE,transition_only_subdistribution_model,transition_only_subdistribution_model
PNU,subdistribution_formula,subdistribution,PNU__base,individualized,Stage9_subdistribution,subdistribution,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,fine_gray,year_3,3,1095.75,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,FALSE,TRUE,projection_only,CoxPH,PNU__base__cox_main_mirror,Main censoring mirror: Base,CoxPH_main_mirror,FineGray,PNU__base__fine_gray,Fine-Gray sensitivity: Base,FineGray,54,0.3080439666123819,0.28417115308814794,NA,NA,-0.023872813524233986,0.023872813524233986,0.023101277637218642,0.062426776648699445,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,FALSE,FALSE,transition_only_subdistribution_model,transition_only_subdistribution_model
PNU,subdistribution_formula,subdistribution,PNU__base,individualized,Stage9_subdistribution,subdistribution,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,fine_gray,year_4,4,1461,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,FALSE,TRUE,projection_only,CoxPH,PNU__base__cox_main_mirror,Main censoring mirror: Base,CoxPH_main_mirror,FineGray,PNU__base__fine_gray,Fine-Gray sensitivity: Base,FineGray,54,0.3080439666123819,0.28417115308814794,NA,NA,-0.023872813524233986,0.023872813524233986,0.023101277637218642,0.062426776648699445,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,FALSE,FALSE,transition_only_subdistribution_model,transition_only_subdistribution_model
PNU,subdistribution_formula,subdistribution,PNU__base,individualized,Stage9_subdistribution,subdistribution,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,fine_gray,year_5,5,1826.25,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,FALSE,TRUE,projection_only,CoxPH,PNU__base__cox_main_mirror,Main censoring mirror: Base,CoxPH_main_mirror,FineGray,PNU__base__fine_gray,Fine-Gray sensitivity: Base,FineGray,54,0.3080439666123819,0.28417115308814794,NA,NA,-0.023872813524233986,0.023872813524233986,0.023101277637218642,0.062426776648699445,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,FALSE,FALSE,transition_only_subdistribution_model,transition_only_subdistribution_model
PNU,subdistribution_formula,subdistribution,PNU__base,individualized,Stage9_subdistribution,subdistribution,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,fine_gray,year_6,6,2191.5,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,FALSE,TRUE,projection_only,CoxPH,PNU__base__cox_main_mirror,Main censoring mirror: Base,CoxPH_main_mirror,FineGray,PNU__base__fine_gray,Fine-Gray sensitivity: Base,FineGray,54,0.3080439666123819,0.28417115308814794,NA,NA,-0.023872813524233986,0.023872813524233986,0.023101277637218642,0.062426776648699445,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,FALSE,FALSE,transition_only_subdistribution_model,transition_only_subdistribution_model
PNU,subdistribution_formula,subdistribution,PNU__base,individualized,Stage9_subdistribution,subdistribution,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,fine_gray,year_7,7,2556.75,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,FALSE,TRUE,projection_only,CoxPH,PNU__base__cox_main_mirror,Main censoring mirror: Base,CoxPH_main_mirror,FineGray,PNU__base__fine_gray,Fine-Gray sensitivity: Base,FineGray,54,0.3080439666123819,0.28417115308814794,NA,NA,-0.023872813524233986,0.023872813524233986,0.023101277637218642,0.062426776648699445,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,FALSE,FALSE,transition_only_subdistribution_model,transition_only_subdistribution_model
PNU,subdistribution_formula,subdistribution,PNU__base,individualized,Stage9_subdistribution,subdistribution,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,fine_gray,year_8,8,2922,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,FALSE,TRUE,projection_only,CoxPH,PNU__base__cox_main_mirror,Main censoring mirror: Base,CoxPH_main_mirror,FineGray,PNU__base__fine_gray,Fine-Gray sensitivity: Base,FineGray,54,0.3080439666123819,0.28417115308814794,NA,NA,-0.023872813524233986,0.023872813524233986,0.023101277637218642,0.062426776648699445,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,FALSE,FALSE,transition_only_subdistribution_model,transition_only_subdistribution_model
PNU,subdistribution_formula,subdistribution,PNU__base,individualized,Stage9_subdistribution,subdistribution,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,fine_gray,year_9,9,3287.25,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,FALSE,TRUE,projection_only,CoxPH,PNU__base__cox_main_mirror,Main censoring mirror: Base,CoxPH_main_mirror,FineGray,PNU__base__fine_gray,Fine-Gray sensitivity: Base,FineGray,54,0.3080439666123819,0.28417115308814794,NA,NA,-0.023872813524233986,0.023872813524233986,0.023101277637218642,0.062426776648699445,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,FALSE,FALSE,transition_only_subdistribution_model,transition_only_subdistribution_model
PNU,subdistribution_formula,subdistribution,PNU__base,individualized,Stage9_subdistribution,subdistribution,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,fine_gray,year_10,10,3652.5,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,FALSE,TRUE,projection_only,CoxPH,PNU__base__cox_main_mirror,Main censoring mirror: Base,CoxPH_main_mirror,FineGray,PNU__base__fine_gray,Fine-Gray sensitivity: Base,FineGray,54,0.3080439666123819,0.28417115308814794,NA,NA,-0.023872813524233986,0.023872813524233986,0.023101277637218642,0.062426776648699445,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,FALSE,FALSE,transition_only_subdistribution_model,transition_only_subdistribution_model
