dataset,subgroup_kind,subgroup_value,group_id,panel_label,analysis_structure,summary_view,horizon_year,interpretation_tier,interpretation_note,support_tier_standard,support_tier,support_display_group,support_display_label,horizon_evidence_class,claim_restriction_flag,n_total,eligible_n,eligibility_fraction,risk_set_n,risk_set_fraction,cumulative_transition_n,cumulative_remission_n,cumulative_right_censoring_n,cumulative_censoring_n,cumulative_eventlike_n,observed_person_time_year,percentage_method,CCI,SPT,cumulative_transition_prop,cumulative_remission_prop,cumulative_right_censoring_prop,cumulative_censoring_prop,cumulative_eventlike_prop,instability_marker,total_eligible_n,eligible_site_count,dominant_site,dominant_site_n,dominant_site_fraction,site_dominance_status,site_dominance_note,site_dominance_warning_flag,site_dominance_warning_note,completeness_plot_status,completeness_plot_note,completeness_plot_alpha,completeness_plot_masked,percentage_method_plot,CCI_plot,SPT_plot,preferred_for_reporting,reporting_priority,reporting_preference_note
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,transition_only,1,primary-supported,Primary supported horizon with comparatively direct follow-up support.,primary_supported,primary_supported,primary_supported,Primary supported,directly_observed_data_supported,primary_claim_allowed,54,47,0.8703703703703703,28,0.5185185185185185,8,3,15,18,8,35.268993839835716,0.7659574468085106,0.8619749410328039,0.8798403891243243,0.14814814814814814,0.05555555555555555,0.2777777777777778,0.3333333333333333,0.14814814814814814,stable_enough,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,stable,Displayed without masking.,1,FALSE,0.7659574468085106,0.8619749410328039,0.8798403891243243,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,transition_only,2,sensitivity,Sensitivity horizon for PNU; partly model-dependent and not for primary claims.,sensitivity,sensitivity,secondary_or_sensitivity,Secondary / sensitivity,partly_model_dependent,secondary_or_sensitivity_only,54,35,0.6481481481481481,1,0.018518518518518517,12,12,29,41,12,46.92539356605063,0.3142857142857143,0.8289763246354377,0.8616994230957267,0.2222222222222222,0.2222222222222222,0.5370370370370371,0.7592592592592593,0.2222222222222222,very_sparse,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,very_sparse,Displayed with caution: very sparse risk set.,0.65,FALSE,0.3142857142857143,0.8289763246354377,0.8616994230957267,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,transition_only,3,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,54,8,0.14814814814814814,0,0,12,13,29,42,12,9.237508555783709,0.5,0.6348071495766697,0.7785763175906913,0.2222222222222222,0.24074074074074073,0.5370370370370371,0.7777777777777778,0.2222222222222222,no_risk_set,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_risk_set,Masked in completeness plot because the risk set is zero at this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,transition_only,4,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,54,0,0,0,0,12,13,29,42,12,NA,NA,NA,NA,0.2222222222222222,0.24074074074074073,0.5370370370370371,0.7777777777777778,0.2222222222222222,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,transition_only,5,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,54,0,0,0,0,12,13,29,42,12,NA,NA,NA,NA,0.2222222222222222,0.24074074074074073,0.5370370370370371,0.7777777777777778,0.2222222222222222,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,transition_only,6,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,54,0,0,0,0,12,13,29,42,12,NA,NA,NA,NA,0.2222222222222222,0.24074074074074073,0.5370370370370371,0.7777777777777778,0.2222222222222222,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,transition_only,7,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,54,0,0,0,0,12,13,29,42,12,NA,NA,NA,NA,0.2222222222222222,0.24074074074074073,0.5370370370370371,0.7777777777777778,0.2222222222222222,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,transition_only,8,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,54,0,0,0,0,12,13,29,42,12,NA,NA,NA,NA,0.2222222222222222,0.24074074074074073,0.5370370370370371,0.7777777777777778,0.2222222222222222,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,transition_only,9,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,54,0,0,0,0,12,13,29,42,12,NA,NA,NA,NA,0.2222222222222222,0.24074074074074073,0.5370370370370371,0.7777777777777778,0.2222222222222222,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,transition_only,10,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,54,0,0,0,0,12,13,29,42,12,NA,NA,NA,NA,0.2222222222222222,0.24074074074074073,0.5370370370370371,0.7777777777777778,0.2222222222222222,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,transition_only,1,primary-supported,Primary supported horizon with comparatively direct follow-up support.,primary_supported,primary_supported,primary_supported,Primary supported,directly_observed_data_supported,primary_claim_allowed,26,22,0.8461538461538461,11,0.4230769230769231,5,1,9,10,5,15.128678986995208,0.7272727272727273,0.8439802970712894,0.8728766100429347,0.19230769230769232,0.038461538461538464,0.34615384615384615,0.38461538461538464,0.19230769230769232,stable_enough,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,stable,Displayed without masking.,1,FALSE,0.7272727272727273,0.8439802970712894,0.8728766100429347,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
