metadata_group,metadata_name,metadata_value
stage,stage_name,Stage 4 timing-difference
stage,stage_role,Separate timing difference from cure interpretation before later cure blocks.
stage,canonical_framework,5.Model Specification Framework_🇬🇧ENG.md
stage,site_effect_implementation,"Piecewise site effect implemented as 0-1, 1-2, and >2 years in merged Cox models."
stage,tail_visualization_rule,Late-tail plot book page shows observed risk only; tail hazard-ratio estimates remain in CSV with estimability flags.
inputs,data_path,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments
inputs,export_path,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage4_PNU–SNU timing-difference/attachments
inputs,data_path_leaf,attachments
inputs,export_path_leaf,attachments
inputs,stage1_analysis_datasets_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_analysis_datasets.rds
inputs,stage1_dataset_registry_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_dataset_registry.csv
inputs,stage1_scaling_registry_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_scaling_registry.csv
inputs,stage1_metadata_registry_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_metadata_registry.csv
inputs,stage1_formula_registry_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_formula_registry.csv
inputs,stage1_horizon_registry_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_horizon_registry.csv
inputs,stage1_threshold_registry_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_threshold_registry.csv
inputs,stage1_analysis_datasets_filename,stage1_analysis_datasets.rds
inputs,stage1_dataset_registry_filename,stage1_dataset_registry.csv
inputs,stage1_scaling_registry_filename,stage1_scaling_registry.csv
inputs,stage1_metadata_registry_filename,stage1_metadata_registry.csv
inputs,stage1_formula_registry_filename,stage1_formula_registry.csv
inputs,stage1_horizon_registry_filename,stage1_horizon_registry.csv
inputs,stage1_threshold_registry_filename,stage1_threshold_registry.csv
time,analysis_time_variable,days_followup
time,reporting_time_variable,time_year = days_followup / 365.25
time,horizon_vector,"1,2,3,4,5,6,7,8,9,10"
time,piecewise_cuts_year,"1,2"
event,event_definition,status_num == 1
event,main_censoring_definition,"status_num %in% c(0, 2)"
timing,supported_short_horizons_year,"1,2"
timing,late_tail_horizons_year,"5,10"
timing,hazard_band_breaks_year,"0,1,2,5,10"
timing,threshold_vector,"0.05,0.10,0.15,0.20"
timing,support_hierarchy_source,"Horizon-based support labels for PNU, SNU, and merged outputs are inherited from Stage 1 horizon_registry rather than redefined locally."
timing,observed_common_window_contrast_rule,Separate-cohort observed PNU-vs-SNU contrasts use the more conservative common-window support label: 1 year primary_supported and 2 years sensitivity.
timing,merged_restricted_window_contrast_rule,"Merged restricted standardized contrasts inherit merged-horizon support from Stage 1, so 1-year and 2-year merged restricted rows remain primary_supported."
bootstrap,bootstrap_iterations,300
bootstrap,bootstrap_seed,20260322
bootstrap,bootstrap_min_success_rate,0.9
bootstrap,bootstrap_reporting_rule,"Rows with retained estimates but bootstrap_success_rate below the minimum stay reported, receive reporting_status = reported_with_bootstrap_instability_flag, and use a bootstrap_unstable plotting marker."
piecewise,piecewise_min_events_per_site,1
piecewise,piecewise_min_subjects_per_site,5
piecewise,piecewise_nonestimable_rule,"If one site has too few subjects, zero or sparse events, no person-time, or the interval coefficient is not estimable, suppress the reported piecewise HR and flag the row as non-estimable."
piecewise,piecewise_export_rule,"When piecewise HR rows are suppressed as non-estimable, exported raw HR diagnostics are blanked in the CSV; underlying fit objects remain in the RDS bundle."
piecewise,late_horizon_availability_rule,Late-horizon observed-risk rows must retain explicit flags when the requested horizon exceeds observed follow-up.
comparison,short_output_label,supported_short_horizon_contrast
comparison,tail_output_label,late_horizon_tail_contrast
comparison,support_basis_rule,"Support labels and support_basis are exported together so readers can distinguish separate-cohort observed support, merged pooled observation, merged restricted-window standardization, merged piecewise interval support, and observed person-time band support."
comparison,short_output_block_rule,"The supported_short_horizon_contrast block contains all 1-year and 2-year common-window rows, while row-level support_label and primary_supported_flag continue to distinguish primary from sensitivity status."
comparison,analysis_subject_n_total_rule,"analysis_subject_n_total stores the full analysis cohort size for the row source, distinct from horizon- or interval-specific at_risk_subject_n_total."
comparison,analysis_transition_events_total_rule,"analysis_transition_events_total stores all observed transition events over full follow-up for the row source, distinct from horizon- or interval-specific transition_events_total."
comparison,at_risk_subject_n_total_rule,at_risk_subject_n_total stores the true horizon or interval risk-set count; horizon rows beyond observed follow-up leave it blank.
