analysis_source,dataset,dataset_label,model_label,latency_family,prior_branch,summary_metric,point_estimate_year,interval_q025_year,interval_q975_year,block4_source_dataset,primary_supported_max_year,latest_stable_horizon_year,latest_supported_horizon_year,first_instability_horizon_year,late_tail_status,block4_narrative,point_minus_primary_supported_year,point_minus_latest_stable_year,point_ratio_to_primary_supported,point_ratio_to_latest_stable,point_beyond_primary_supported,point_beyond_latest_stable,q025_beyond_primary_supported,q025_beyond_latest_stable
frequentist,PNU,PNU,frequentist_exponential,exponential,NA,cohort_uncured_median,0.5886203308050779,NA,NA,PNU,1,1,2,2,late_tail_caution_flags_present,"PNU enters the late-tail assessment after 1 year. Visible support extends to 2 years and stable support extends to 1 year. Reverse-KM median follow-up is 1.37 years (95% CI 0.76 to 1.61). The mean Betensky difference width is 0.29 across the full observed curve and 0.30 in the late tail. Tail instability flags were recorded at horizon(s) 2, 3, 4, 5, 6, 7, 8, 9, 10: completeness_very_sparse; completeness_masked_no_risk_set; completeness_masked_no_eligible.",-0.4113796691949221,-0.4113796691949221,0.5886203308050779,0.5886203308050779,FALSE,FALSE,FALSE,FALSE
frequentist,PNU,PNU,frequentist_exponential,exponential,NA,weighted_subject_median,0.6985246576174581,NA,NA,PNU,1,1,2,2,late_tail_caution_flags_present,"PNU enters the late-tail assessment after 1 year. Visible support extends to 2 years and stable support extends to 1 year. Reverse-KM median follow-up is 1.37 years (95% CI 0.76 to 1.61). The mean Betensky difference width is 0.29 across the full observed curve and 0.30 in the late tail. Tail instability flags were recorded at horizon(s) 2, 3, 4, 5, 6, 7, 8, 9, 10: completeness_very_sparse; completeness_masked_no_risk_set; completeness_masked_no_eligible.",-0.3014753423825419,-0.3014753423825419,0.6985246576174581,0.6985246576174581,FALSE,FALSE,FALSE,FALSE
frequentist,PNU,PNU,frequentist_loglogistic,loglogistic,NA,cohort_uncured_median,0.5537954608434194,NA,NA,PNU,1,1,2,2,late_tail_caution_flags_present,"PNU enters the late-tail assessment after 1 year. Visible support extends to 2 years and stable support extends to 1 year. Reverse-KM median follow-up is 1.37 years (95% CI 0.76 to 1.61). The mean Betensky difference width is 0.29 across the full observed curve and 0.30 in the late tail. Tail instability flags were recorded at horizon(s) 2, 3, 4, 5, 6, 7, 8, 9, 10: completeness_very_sparse; completeness_masked_no_risk_set; completeness_masked_no_eligible.",-0.44620453915658065,-0.44620453915658065,0.5537954608434194,0.5537954608434194,FALSE,FALSE,FALSE,FALSE
frequentist,PNU,PNU,frequentist_loglogistic,loglogistic,NA,weighted_subject_median,0.8118858445834254,NA,NA,PNU,1,1,2,2,late_tail_caution_flags_present,"PNU enters the late-tail assessment after 1 year. Visible support extends to 2 years and stable support extends to 1 year. Reverse-KM median follow-up is 1.37 years (95% CI 0.76 to 1.61). The mean Betensky difference width is 0.29 across the full observed curve and 0.30 in the late tail. Tail instability flags were recorded at horizon(s) 2, 3, 4, 5, 6, 7, 8, 9, 10: completeness_very_sparse; completeness_masked_no_risk_set; completeness_masked_no_eligible.",-0.1881141554165746,-0.1881141554165746,0.8118858445834254,0.8118858445834254,FALSE,FALSE,FALSE,FALSE
frequentist,PNU,PNU,frequentist_lognormal,lognormal,NA,cohort_uncured_median,0.5530336126753516,NA,NA,PNU,1,1,2,2,late_tail_caution_flags_present,"PNU enters the late-tail assessment after 1 year. Visible support extends to 2 years and stable support extends to 1 year. Reverse-KM median follow-up is 1.37 years (95% CI 0.76 to 1.61). The mean Betensky difference width is 0.29 across the full observed curve and 0.30 in the late tail. Tail instability flags were recorded at horizon(s) 2, 3, 4, 5, 6, 7, 8, 9, 10: completeness_very_sparse; completeness_masked_no_risk_set; completeness_masked_no_eligible.",-0.44696638732464844,-0.44696638732464844,0.5530336126753516,0.5530336126753516,FALSE,FALSE,FALSE,FALSE
frequentist,PNU,PNU,frequentist_lognormal,lognormal,NA,weighted_subject_median,0.9204766996725664,NA,NA,PNU,1,1,2,2,late_tail_caution_flags_present,"PNU enters the late-tail assessment after 1 year. Visible support extends to 2 years and stable support extends to 1 year. Reverse-KM median follow-up is 1.37 years (95% CI 0.76 to 1.61). The mean Betensky difference width is 0.29 across the full observed curve and 0.30 in the late tail. Tail instability flags were recorded at horizon(s) 2, 3, 4, 5, 6, 7, 8, 9, 10: completeness_very_sparse; completeness_masked_no_risk_set; completeness_masked_no_eligible.",-0.0795233003274336,-0.0795233003274336,0.9204766996725664,0.9204766996725664,FALSE,FALSE,FALSE,FALSE
frequentist,PNU,PNU,frequentist_weibull,weibull,NA,cohort_uncured_median,0.6268146080925197,NA,NA,PNU,1,1,2,2,late_tail_caution_flags_present,"PNU enters the late-tail assessment after 1 year. Visible support extends to 2 years and stable support extends to 1 year. Reverse-KM median follow-up is 1.37 years (95% CI 0.76 to 1.61). The mean Betensky difference width is 0.29 across the full observed curve and 0.30 in the late tail. Tail instability flags were recorded at horizon(s) 2, 3, 4, 5, 6, 7, 8, 9, 10: completeness_very_sparse; completeness_masked_no_risk_set; completeness_masked_no_eligible.",-0.37318539190748035,-0.37318539190748035,0.6268146080925197,0.6268146080925197,FALSE,FALSE,FALSE,FALSE
frequentist,PNU,PNU,frequentist_weibull,weibull,NA,weighted_subject_median,0.7503418874894923,NA,NA,PNU,1,1,2,2,late_tail_caution_flags_present,"PNU enters the late-tail assessment after 1 year. Visible support extends to 2 years and stable support extends to 1 year. Reverse-KM median follow-up is 1.37 years (95% CI 0.76 to 1.61). The mean Betensky difference width is 0.29 across the full observed curve and 0.30 in the late tail. Tail instability flags were recorded at horizon(s) 2, 3, 4, 5, 6, 7, 8, 9, 10: completeness_very_sparse; completeness_masked_no_risk_set; completeness_masked_no_eligible.",-0.24965811251050773,-0.24965811251050773,0.7503418874894923,0.7503418874894923,FALSE,FALSE,FALSE,FALSE
bayesian,PNU,PNU,PNU-L0-LN-ANCH-NOSITE,lognormal,anchor_informed,cohort_uncured_median,2.016079612411414,0.24055126020045536,8.182461377983728,PNU,1,1,2,2,late_tail_caution_flags_present,"PNU enters the late-tail assessment after 1 year. Visible support extends to 2 years and stable support extends to 1 year. Reverse-KM median follow-up is 1.37 years (95% CI 0.76 to 1.61). The mean Betensky difference width is 0.29 across the full observed curve and 0.30 in the late tail. Tail instability flags were recorded at horizon(s) 2, 3, 4, 5, 6, 7, 8, 9, 10: completeness_very_sparse; completeness_masked_no_risk_set; completeness_masked_no_eligible.",1.016079612411414,1.016079612411414,2.016079612411414,2.016079612411414,TRUE,TRUE,FALSE,FALSE
bayesian,PNU,PNU,PNU-L0-LN-ANCH-NOSITE,lognormal,anchor_informed,weighted_subject_median,2.422755698102259,0.28329481214112817,9.763529821510044,PNU,1,1,2,2,late_tail_caution_flags_present,"PNU enters the late-tail assessment after 1 year. Visible support extends to 2 years and stable support extends to 1 year. Reverse-KM median follow-up is 1.37 years (95% CI 0.76 to 1.61). The mean Betensky difference width is 0.29 across the full observed curve and 0.30 in the late tail. Tail instability flags were recorded at horizon(s) 2, 3, 4, 5, 6, 7, 8, 9, 10: completeness_very_sparse; completeness_masked_no_risk_set; completeness_masked_no_eligible.",1.422755698102259,1.422755698102259,2.422755698102259,2.422755698102259,TRUE,TRUE,FALSE,FALSE
