dataset,subgroup_kind,subgroup_value,group_id,panel_label,analysis_structure,preferred_for_reporting,reporting_priority,reporting_preference_note,summary_view,horizon_year,interpretation_tier,interpretation_note,support_tier_standard,support_display_group,support_display_label,completeness_plot_status,completeness_plot_note,completeness_plot_alpha,eligible_n,risk_set_n,risk_set_fraction,site_dominance_status,site_dominance_warning_flag,site_dominance_warning_note,completeness_metric,completeness_value
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,remission_sensitive,1,primary-supported,Common comparison horizon retained for cross-model comparability.,primary_supported,primary_supported,Primary supported,stable,Displayed without masking.,1,47,28,0.5185185185185185,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,CCI,0.8854216784658735
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,remission_sensitive,1,primary-supported,Common comparison horizon retained for cross-model comparability.,primary_supported,primary_supported,Primary supported,stable,Displayed without masking.,1,47,28,0.5185185185185185,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,SPT,0.9028936752734208
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,remission_sensitive,1,primary-supported,Common comparison horizon retained for cross-model comparability.,primary_supported,primary_supported,Primary supported,stable,Displayed without masking.,1,47,28,0.5185185185185185,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,percentage_method,0.8297872340425532
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,remission_sensitive,2,sensitivity,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,sensitivity,secondary_or_sensitivity,Secondary / sensitivity,very_sparse,Displayed with caution: very sparse risk set.,0.65,35,1,0.018518518518518517,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,CCI,0.9360220632406748
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,remission_sensitive,2,sensitivity,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,sensitivity,secondary_or_sensitivity,Secondary / sensitivity,very_sparse,Displayed with caution: very sparse risk set.,0.65,35,1,0.018518518518518517,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,SPT,0.954180111469639
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,remission_sensitive,2,sensitivity,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,sensitivity,secondary_or_sensitivity,Secondary / sensitivity,very_sparse,Displayed with caution: very sparse risk set.,0.65,35,1,0.018518518518518517,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,percentage_method,0.6285714285714286
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,remission_sensitive,3,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_risk_set,Masked in completeness plot because the risk set is zero at this horizon.,0,8,0,0,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,CCI,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,remission_sensitive,3,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_risk_set,Masked in completeness plot because the risk set is zero at this horizon.,0,8,0,0,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,SPT,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,remission_sensitive,3,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_risk_set,Masked in completeness plot because the risk set is zero at this horizon.,0,8,0,0,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,percentage_method,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,remission_sensitive,4,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,0,0,0,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,CCI,NA
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,remission_sensitive,4,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,0,0,0,not_applicable,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,SPT,NA
