stage,validation_level,optimism_correction_method,dataset,model_class,model_family,model_id,strategy_family,formula_id,formula_name,formula_label,site_branch,interaction_branch,anchor_horizon_year,tail_extrapolation_capable_flag,extrapolation_role,horizon_id,horizon_year,horizon_label,interpretation_tier,primary_supported_flag,interpretation_note,calibration_target,mean_calibration_reference,mean_predicted_risk,mean_calibration_difference,calibration_intercept_offset,calibration_intercept_free,calibration_slope,calibration_known_n,calibration_case_weight,calibration_nonevent_weight,binary_outcome_support_flag,calibration_minimum_n_flag,calibration_support_flag,calibration_fit_success_flag,calibration_offset_converged_flag,calibration_slope_converged_flag,calibration_offset_boundary_flag,calibration_slope_boundary_flag,calibration_regression_suppressed_flag,observed_case_support_flag,observed_nonevent_support_flag,observed_horizon_information_flag,partial_binary_outcome_support_flag,beyond_last_event_flag,beyond_last_followup_flag,descriptive_projection_flag,horizon_data_status,descriptive_value_status,calibration_failure_reason,calibration_offset_message,calibration_slope_message
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_1,1,Year 1,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.1711033651726387,-0.0012451064472984719,0.07121800062394637,0.37938124469553397,1.192257692998021,36,9.172345971168374,44.82765402883167,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,none,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_2,2,Year 2,sensitivity,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.3080439666123819,-0.009225049697080323,0.13988298929602014,5.256773135201852,6.039333141248569,13,16.136221513426296,37.863778486573715,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,none,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_3,3,Year 3,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.3080439666123819,-0.009225049697080323,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_4,4,Year 4,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.3080439666123819,-0.009225049697080323,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_5,5,Year 5,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.3080439666123819,-0.009225049697080323,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_6,6,Year 6,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.3080439666123819,-0.009225049697080323,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_7,7,Year 7,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.3080439666123819,-0.009225049697080323,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_8,8,Year 8,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.3080439666123819,-0.009225049697080323,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_9,9,Year 9,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.3080439666123819,-0.009225049697080323,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,coxph,PNU__base__coxph,coxph,PNU__base,base,Base,site_free,no_age_sex_interaction,1,0,observed_window_comparator,year_10,10,Year 10,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.3080439666123819,-0.009225049697080323,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
