file_name,object_name,description,file_path,portable_file_reference
stage4_dataset_summary.csv,stage4_dataset_summary,Dataset-level Stage 4 summary with Stage 1 aligned support counts,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage4_PNU–SNU timing-difference/attachments/stage4_dataset_summary.csv,stage4_dataset_summary.csv
stage4_risk_trajectory.csv,risk_trajectory,Observed KM risk trajectory on the common 1-10 year grid with Stage 1 aligned support labels and support-basis annotation,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage4_PNU–SNU timing-difference/attachments/stage4_risk_trajectory.csv,stage4_risk_trajectory.csv
stage4_hazard_pattern_summary.csv,hazard_pattern_summary,Hazard-pattern summary across pre-specified time bands with full/partial observation diagnostics and dataset-specific Stage 1 aligned support labels,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage4_PNU–SNU timing-difference/attachments/stage4_hazard_pattern_summary.csv,stage4_hazard_pattern_summary.csv
stage4_piecewise_interval_support.csv,piecewise_interval_support,Piecewise interval-support table showing site-specific risk-set and event support,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage4_PNU–SNU timing-difference/attachments/stage4_piecewise_interval_support.csv,stage4_piecewise_interval_support.csv
stage4_piecewise_site_effect.csv,piecewise_site_effect,Piecewise merged site-effect hazard ratio table with reported estimates only for estimable intervals,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage4_PNU–SNU timing-difference/attachments/stage4_piecewise_site_effect.csv,stage4_piecewise_site_effect.csv
stage4_supported_short_horizon_contrast.csv,supported_short_horizon_contrast,"Supported short-horizon contrast table with analysis totals separated from horizon-specific support counts, availability, bootstrap diagnostics, explicit reporting-status flags, and support-basis labels",/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage4_PNU–SNU timing-difference/attachments/stage4_supported_short_horizon_contrast.csv,stage4_supported_short_horizon_contrast.csv
stage4_late_horizon_tail_contrast.csv,late_horizon_tail_contrast,"Late-horizon tail contrast table with analysis totals separated from horizon-specific support counts, availability, estimability, reporting-status flags, and support-basis diagnostics",/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage4_PNU–SNU timing-difference/attachments/stage4_late_horizon_tail_contrast.csv,stage4_late_horizon_tail_contrast.csv
stage4_metadata_registry.csv,stage4_metadata_registry,Stage 4 metadata registry,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage4_PNU–SNU timing-difference/attachments/stage4_metadata_registry.csv,stage4_metadata_registry.csv
stage4_model_objects.rds,stage4_model_objects,Restricted and piecewise model objects bundled as RDS,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage4_PNU–SNU timing-difference/attachments/stage4_model_objects.rds,stage4_model_objects.rds
stage4_plot_book.pdf,stage4_plot_book,Single PDF plot book generated from exported data frames,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage4_PNU–SNU timing-difference/attachments/stage4_plot_book.pdf,stage4_plot_book.pdf
stage4_export_manifest.csv,stage4_export_manifest,Manifest of all Stage 4 exported files,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage4_PNU–SNU timing-difference/attachments/stage4_export_manifest.csv,stage4_export_manifest.csv
