dataset,comparison_scope,comparison_family,comparison_id,prediction_level,model_class,model_family,formula_id,formula_name,formula_label,site_branch,interaction_branch,benchmark_core_id,benchmark_label,assignment_variable,variant_id,variant_label,sensitivity_method,analysis_variant,evaluation_mode,risk_estimator,horizon_id,horizon_year,horizon_days,interpretation_tier,primary_supported_flag,interpretation_note,horizon_support_label,supported_for_reporting,projection_flag,reporting_status,remission_component_available,eventfree_component_available,component_mode,component_note,threshold_id,threshold,threshold_label,positive_rule,n_subjects,n_event_by_horizon,n_remission_by_horizon,n_known_nonevent_by_horizon,n_evaluable_by_horizon,n_unknown_due_to_early_followup_loss,n_predicted_positive,n_predicted_negative,n_predicted_positive_evaluable,n_predicted_negative_evaluable,tp_count,fp_count,tn_count,fn_count,mean_predicted_transition_risk,min_predicted_transition_risk,max_predicted_transition_risk,mean_predicted_remission_risk,mean_predicted_eventfree_prob,mean_risk_difference_from_main_signed,mean_risk_difference_from_main_absolute,positive_classification_rate,positive_classification_rate_evaluable,false_positive_rate,false_positive_burden,false_positive_burden_known_nonevent,false_positive_per_100,specificity,ppv,tpr,event_prevalence_all,event_prevalence_evaluable,remission_prevalence_all,net_benefit,net_benefit_evaluable,standardized_net_benefit,evaluation_rule
PNU,cause_specific_formula,cause_specific,PNU__base,individualized,Stage9_cause_specific,CoxPH,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,PNU__base__cox_main_mirror,Main censoring mirror: Base,cause_specific_cox,main_censoring_mirror,main_censoring,CoxPH_main_mirror,year_1,1,365.25,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,primary_supported,TRUE,FALSE,supported,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,threshold_1,0.05,5%,Classify as high risk when predicted risk >= threshold,54,8,3,28,36,18,54,0,36,0,8,28,0,0,0.1711033651726387,0.10637378560252686,0.31126666004347925,0,0.8288966348273613,0,0,1,1,1,0.5185185185185185,1,51.85185185185185,0,0.2222222222222222,1,0.14814814814814814,0.2222222222222222,0.05555555555555555,0.12085769980506822,0.18128654970760233,0.8157894736842105,event by horizon OR observed event-free through horizon; remission before horizon remains censored/unknown
PNU,cause_specific_formula,cause_specific,PNU__base,individualized,Stage9_cause_specific,CauseSpecificCox,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,PNU__base__cause_specific,Cause-specific sensitivity: Base,cause_specific_cox,remission_sensitive,remission_sensitive,CauseSpecificCox,year_1,1,365.25,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,primary_supported,TRUE,FALSE,supported,TRUE,TRUE,full_cause_specific_decomposition,transition_remission_eventfree_decomposition_available,threshold_1,0.05,5%,Classify as high risk when predicted risk >= threshold,54,8,3,31,39,15,54,0,39,0,8,31,0,0,0.167678894851905,0.10557060634293751,0.29403444914130716,0.077801458928161,0.754519646219934,-0.003424470320733661,0.003424470320733661,1,1,1,0.5740740740740741,1,57.407407407407405,0,0.20512820512820512,1,0.14814814814814814,0.20512820512820512,0.05555555555555555,0.11793372319688109,0.1632928475033738,0.7960526315789473,event by horizon OR remission by horizon OR observed transition-free through horizon; early right censoring before horizon remains unknown
PNU,cause_specific_formula,cause_specific,PNU__base,individualized,Stage9_cause_specific,CoxPH,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,PNU__base__cox_main_mirror,Main censoring mirror: Base,cause_specific_cox,main_censoring_mirror,main_censoring,CoxPH_main_mirror,year_1,1,365.25,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,primary_supported,TRUE,FALSE,supported,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,threshold_2,0.1,10%,Classify as high risk when predicted risk >= threshold,54,8,3,28,36,18,54,0,36,0,8,28,0,0,0.1711033651726387,0.10637378560252686,0.31126666004347925,0,0.8288966348273613,0,0,1,1,1,0.5185185185185185,1,51.85185185185185,0,0.2222222222222222,1,0.14814814814814814,0.2222222222222222,0.05555555555555555,0.0905349794238683,0.13580246913580246,0.611111111111111,event by horizon OR observed event-free through horizon; remission before horizon remains censored/unknown
PNU,cause_specific_formula,cause_specific,PNU__base,individualized,Stage9_cause_specific,CauseSpecificCox,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,PNU__base__cause_specific,Cause-specific sensitivity: Base,cause_specific_cox,remission_sensitive,remission_sensitive,CauseSpecificCox,year_1,1,365.25,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,primary_supported,TRUE,FALSE,supported,TRUE,TRUE,full_cause_specific_decomposition,transition_remission_eventfree_decomposition_available,threshold_2,0.1,10%,Classify as high risk when predicted risk >= threshold,54,8,3,31,39,15,54,0,39,0,8,31,0,0,0.167678894851905,0.10557060634293751,0.29403444914130716,0.077801458928161,0.754519646219934,-0.003424470320733661,0.003424470320733661,1,1,1,0.5740740740740741,1,57.407407407407405,0,0.20512820512820512,1,0.14814814814814814,0.20512820512820512,0.05555555555555555,0.08436213991769546,0.1168091168091168,0.5694444444444444,event by horizon OR remission by horizon OR observed transition-free through horizon; early right censoring before horizon remains unknown
PNU,cause_specific_formula,cause_specific,PNU__base,individualized,Stage9_cause_specific,CoxPH,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,PNU__base__cox_main_mirror,Main censoring mirror: Base,cause_specific_cox,main_censoring_mirror,main_censoring,CoxPH_main_mirror,year_1,1,365.25,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,primary_supported,TRUE,FALSE,supported,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,threshold_3,0.15,15%,Classify as high risk when predicted risk >= threshold,54,8,3,28,36,18,26,28,16,20,5,11,17,3,0.1711033651726387,0.10637378560252686,0.31126666004347925,0,0.8288966348273613,0,0,0.48148148148148145,0.4444444444444444,0.39285714285714285,0.2037037037037037,0.39285714285714285,20.37037037037037,0.6071428571428571,0.3125,0.625,0.14814814814814814,0.2222222222222222,0.05555555555555555,0.05664488017429194,0.08496732026143791,0.3823529411764706,event by horizon OR observed event-free through horizon; remission before horizon remains censored/unknown
PNU,cause_specific_formula,cause_specific,PNU__base,individualized,Stage9_cause_specific,CauseSpecificCox,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,PNU__base__cause_specific,Cause-specific sensitivity: Base,cause_specific_cox,remission_sensitive,remission_sensitive,CauseSpecificCox,year_1,1,365.25,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,primary_supported,TRUE,FALSE,supported,TRUE,TRUE,full_cause_specific_decomposition,transition_remission_eventfree_decomposition_available,threshold_3,0.15,15%,Classify as high risk when predicted risk >= threshold,54,8,3,31,39,15,26,28,17,22,5,12,19,3,0.167678894851905,0.10557060634293751,0.29403444914130716,0.077801458928161,0.754519646219934,-0.003424470320733661,0.003424470320733661,0.48148148148148145,0.4358974358974359,0.3870967741935484,0.2222222222222222,0.3870967741935484,22.22222222222222,0.6129032258064516,0.29411764705882354,0.625,0.14814814814814814,0.20512820512820512,0.05555555555555555,0.053376906318082784,0.07390648567119154,0.3602941176470588,event by horizon OR remission by horizon OR observed transition-free through horizon; early right censoring before horizon remains unknown
PNU,cause_specific_formula,cause_specific,PNU__base,individualized,Stage9_cause_specific,CoxPH,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,PNU__base__cox_main_mirror,Main censoring mirror: Base,cause_specific_cox,main_censoring_mirror,main_censoring,CoxPH_main_mirror,year_1,1,365.25,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,primary_supported,TRUE,FALSE,supported,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,threshold_4,0.2,20%,Classify as high risk when predicted risk >= threshold,54,8,3,28,36,18,19,35,9,27,4,5,23,4,0.1711033651726387,0.10637378560252686,0.31126666004347925,0,0.8288966348273613,0,0,0.35185185185185186,0.25,0.17857142857142858,0.09259259259259259,0.17857142857142858,9.25925925925926,0.8214285714285714,0.4444444444444444,0.5,0.14814814814814814,0.2222222222222222,0.05555555555555555,0.05092592592592592,0.07638888888888888,0.34375,event by horizon OR observed event-free through horizon; remission before horizon remains censored/unknown
PNU,cause_specific_formula,cause_specific,PNU__base,individualized,Stage9_cause_specific,CauseSpecificCox,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,PNU__base__cause_specific,Cause-specific sensitivity: Base,cause_specific_cox,remission_sensitive,remission_sensitive,CauseSpecificCox,year_1,1,365.25,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,primary_supported,TRUE,FALSE,supported,TRUE,TRUE,full_cause_specific_decomposition,transition_remission_eventfree_decomposition_available,threshold_4,0.2,20%,Classify as high risk when predicted risk >= threshold,54,8,3,31,39,15,17,37,9,30,3,6,25,5,0.167678894851905,0.10557060634293751,0.29403444914130716,0.077801458928161,0.754519646219934,-0.003424470320733661,0.003424470320733661,0.3148148148148148,0.23076923076923078,0.1935483870967742,0.1111111111111111,0.1935483870967742,11.11111111111111,0.8064516129032258,0.3333333333333333,0.375,0.14814814814814814,0.20512820512820512,0.05555555555555555,0.027777777777777776,0.038461538461538464,0.1875,event by horizon OR remission by horizon OR observed transition-free through horizon; early right censoring before horizon remains unknown
PNU,cause_specific_formula,cause_specific,PNU__base,individualized,Stage9_cause_specific,CoxPH,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,PNU__base__cox_main_mirror,Main censoring mirror: Base,cause_specific_cox,main_censoring_mirror,main_censoring,CoxPH_main_mirror,year_2,2,730.5,sensitivity,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,sensitivity,TRUE,FALSE,supported,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,threshold_1,0.05,5%,Classify as high risk when predicted risk >= threshold,54,12,12,1,13,41,54,0,13,0,12,1,0,0,0.3080439666123819,0.20025544705844334,0.5233248350380904,0,0.691956033387618,0,0,1,1,1,0.018518518518518517,1,1.8518518518518516,0,0.9230769230769231,1,0.2222222222222222,0.9230769230769231,0.2222222222222222,0.2212475633528265,0.9190283400809717,0.9956140350877193,event by horizon OR observed event-free through horizon; remission before horizon remains censored/unknown
PNU,cause_specific_formula,cause_specific,PNU__base,individualized,Stage9_cause_specific,CauseSpecificCox,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,PNU__base__cause_specific,Cause-specific sensitivity: Base,cause_specific_cox,remission_sensitive,remission_sensitive,CauseSpecificCox,year_2,2,730.5,sensitivity,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,sensitivity,TRUE,FALSE,supported,TRUE,TRUE,full_cause_specific_decomposition,transition_remission_eventfree_decomposition_available,threshold_1,0.05,5%,Classify as high risk when predicted risk >= threshold,54,12,12,13,25,29,54,0,25,0,12,13,0,0,0.2825677929434664,0.1935860720885551,0.4100502317395196,0.4391612543795509,0.2782709526769827,-0.02547617366891554,0.02547617366891554,1,1,1,0.24074074074074073,1,24.074074074074073,0,0.48,1,0.2222222222222222,0.48,0.2222222222222222,0.20955165692007796,0.4526315789473684,0.9429824561403509,event by horizon OR remission by horizon OR observed transition-free through horizon; early right censoring before horizon remains unknown
