dataset,horizon_year,horizon_id,horizon_days,interpretation_tier,primary_supported_flag,interpretation_note
PNU,1,year_1,365.25,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.
PNU,2,year_2,730.5,sensitivity,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.
PNU,3,year_3,1095.75,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.
PNU,4,year_4,1461,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.
PNU,5,year_5,1826.25,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.
PNU,6,year_6,2191.5,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.
PNU,7,year_7,2556.75,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.
PNU,8,year_8,2922,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.
PNU,9,year_9,3287.25,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.
PNU,10,year_10,3652.5,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.
SNU,1,year_1,365.25,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.
SNU,2,year_2,730.5,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.
SNU,3,year_3,1095.75,secondary,FALSE,Common comparison horizon retained for cross-model comparability.
SNU,4,year_4,1461,secondary,FALSE,Common comparison horizon retained for cross-model comparability.
SNU,5,year_5,1826.25,secondary,FALSE,Common comparison horizon retained for cross-model comparability.
SNU,6,year_6,2191.5,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.
SNU,7,year_7,2556.75,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.
SNU,8,year_8,2922,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.
SNU,9,year_9,3287.25,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.
SNU,10,year_10,3652.5,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.
merged,1,year_1,365.25,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.
merged,2,year_2,730.5,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.
merged,3,year_3,1095.75,secondary,FALSE,Common comparison horizon retained for cross-model comparability.
merged,4,year_4,1461,secondary,FALSE,Common comparison horizon retained for cross-model comparability.
merged,5,year_5,1826.25,secondary,FALSE,Common comparison horizon retained for cross-model comparability.
merged,6,year_6,2191.5,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.
merged,7,year_7,2556.75,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.
merged,8,year_8,2922,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.
merged,9,year_9,3287.25,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.
merged,10,year_10,3652.5,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.
