dataset,horizon_year,horizon_support_label,support_priority,observed_km_risk,denom_case,denom_control,classification_estimable_flag,classification_reporting_status,classification_reporting_note,cohort_reporting_status,cohort_reporting_note
PNU,1,primary-supported,1,0.16985825872534022,9.172345971168374,44.82765402883167,TRUE,reported,Primary-supported horizon.,reported,Primary-supported horizon.
PNU,2,secondary,2,0.2988189169153016,16.136221513426296,37.863778486573715,TRUE,reported,Secondary-support horizon.,reported,Secondary-support horizon.
PNU,3,projection,3,0.2988189169153016,16.136221513426296,0,FALSE,not_estimable,IPCW control denominator is zero at this horizon. Threshold-based classification is not estimable; this horizon is also projection-only.,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons."
PNU,4,projection,3,0.2988189169153016,16.136221513426296,0,FALSE,not_estimable,IPCW control denominator is zero at this horizon. Threshold-based classification is not estimable; this horizon is also projection-only.,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons."
PNU,5,projection,3,0.2988189169153016,16.136221513426296,0,FALSE,not_estimable,IPCW control denominator is zero at this horizon. Threshold-based classification is not estimable; this horizon is also projection-only.,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons."
PNU,6,projection,3,0.2988189169153016,16.136221513426296,0,FALSE,not_estimable,IPCW control denominator is zero at this horizon. Threshold-based classification is not estimable; this horizon is also projection-only.,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons."
PNU,7,projection,3,0.2988189169153016,16.136221513426296,0,FALSE,not_estimable,IPCW control denominator is zero at this horizon. Threshold-based classification is not estimable; this horizon is also projection-only.,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons."
PNU,8,projection,3,0.2988189169153016,16.136221513426296,0,FALSE,not_estimable,IPCW control denominator is zero at this horizon. Threshold-based classification is not estimable; this horizon is also projection-only.,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons."
PNU,9,projection,3,0.2988189169153016,16.136221513426296,0,FALSE,not_estimable,IPCW control denominator is zero at this horizon. Threshold-based classification is not estimable; this horizon is also projection-only.,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons."
PNU,10,projection,3,0.2988189169153016,16.136221513426296,0,FALSE,not_estimable,IPCW control denominator is zero at this horizon. Threshold-based classification is not estimable; this horizon is also projection-only.,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons."
SNU,1,primary-supported,1,0.07275402461899805,15.13261048377649,192.86158803929874,TRUE,reported,Primary-supported horizon.,reported,Primary-supported horizon.
SNU,2,primary-supported,1,0.12152910828813468,25.27722423401656,182.7093446781843,TRUE,reported,Primary-supported horizon.,reported,Primary-supported horizon.
SNU,3,secondary,2,0.16897073240545435,35.14440154714632,172.84216736505414,TRUE,reported,Secondary-support horizon.,reported,Secondary-support horizon.
SNU,4,secondary,2,0.1834300328489491,38.15161492783529,169.82221878193658,TRUE,reported,Secondary-support horizon.,reported,Secondary-support horizon.
SNU,5,secondary,2,0.21081009091910252,43.84558790843426,163.68146611728733,TRUE,reported,Secondary-support horizon.,reported,Secondary-support horizon.
SNU,6,projection,3,0.24720878693541226,51.39483791803662,156.1322161076853,TRUE,reported_with_projection_caution,Projection horizon. Threshold-based classification is reported for completeness and should not be prioritized in main interpretation.,reported_with_projection_caution,"Projection horizon. Cohort-level posterior trajectories are reported, but primary interpretation should remain anchored to supported horizons."
