dataset,subgroup_kind,subgroup_value,group_id,panel_label,analysis_structure,horizon_year,interpretation_tier,interpretation_note,support_tier_standard,support_display_group,support_display_label,site,site_eligible_n,total_eligible_n,eligible_site_fraction,eligible_site_count,dominant_site,dominant_site_n,dominant_site_fraction,site_dominance_status,site_dominance_note
merged,overall,Overall,merged__overall__Overall,merged | Overall,site_adjusted,1,primary-supported,Common comparison horizon retained for cross-model comparability.,primary_supported,primary_supported,Primary supported,PNU,47,238,0.19747899159663865,2,SNU,191,0.8025210084033614,single_site_dominant,Eligible subjects are dominated by one site (>= 80% of the eligible set).
merged,overall,Overall,merged__overall__Overall,merged | Overall,site_adjusted,1,primary-supported,Common comparison horizon retained for cross-model comparability.,primary_supported,primary_supported,Primary supported,SNU,191,238,0.8025210084033614,2,SNU,191,0.8025210084033614,single_site_dominant,Eligible subjects are dominated by one site (>= 80% of the eligible set).
merged,overall,Overall,merged__overall__Overall,merged | Overall,site_adjusted,2,primary-supported,Common comparison horizon retained for cross-model comparability.,primary_supported,primary_supported,Primary supported,PNU,35,210,0.16666666666666666,2,SNU,175,0.8333333333333334,single_site_dominant,Eligible subjects are dominated by one site (>= 80% of the eligible set).
merged,overall,Overall,merged__overall__Overall,merged | Overall,site_adjusted,2,primary-supported,Common comparison horizon retained for cross-model comparability.,primary_supported,primary_supported,Primary supported,SNU,175,210,0.8333333333333334,2,SNU,175,0.8333333333333334,single_site_dominant,Eligible subjects are dominated by one site (>= 80% of the eligible set).
merged,overall,Overall,merged__overall__Overall,merged | Overall,site_adjusted,3,secondary,Common comparison horizon retained for cross-model comparability.,secondary,secondary_or_sensitivity,Secondary / sensitivity,PNU,8,180,0.044444444444444446,2,SNU,172,0.9555555555555556,single_site_dominant,Eligible subjects are dominated by one site (>= 80% of the eligible set).
merged,overall,Overall,merged__overall__Overall,merged | Overall,site_adjusted,3,secondary,Common comparison horizon retained for cross-model comparability.,secondary,secondary_or_sensitivity,Secondary / sensitivity,SNU,172,180,0.9555555555555556,2,SNU,172,0.9555555555555556,single_site_dominant,Eligible subjects are dominated by one site (>= 80% of the eligible set).
merged,overall,Overall,merged__overall__Overall,merged | Overall,site_adjusted,4,secondary,Common comparison horizon retained for cross-model comparability.,secondary,secondary_or_sensitivity,Secondary / sensitivity,PNU,0,162,0,1,SNU,162,1,single_site_only,Eligible subjects come from only one site at this merged horizon.
merged,overall,Overall,merged__overall__Overall,merged | Overall,site_adjusted,4,secondary,Common comparison horizon retained for cross-model comparability.,secondary,secondary_or_sensitivity,Secondary / sensitivity,SNU,162,162,1,1,SNU,162,1,single_site_only,Eligible subjects come from only one site at this merged horizon.
merged,overall,Overall,merged__overall__Overall,merged | Overall,site_adjusted,5,secondary,Common comparison horizon retained for cross-model comparability.,secondary,secondary_or_sensitivity,Secondary / sensitivity,PNU,0,146,0,1,SNU,146,1,single_site_only,Eligible subjects come from only one site at this merged horizon.
merged,overall,Overall,merged__overall__Overall,merged | Overall,site_adjusted,5,secondary,Common comparison horizon retained for cross-model comparability.,secondary,secondary_or_sensitivity,Secondary / sensitivity,SNU,146,146,1,1,SNU,146,1,single_site_only,Eligible subjects come from only one site at this merged horizon.
merged,overall,Overall,merged__overall__Overall,merged | Overall,site_adjusted,6,projection,Projection zone; later stages must report late-horizon instability explicitly.,projection,projection,Projection,PNU,0,133,0,1,SNU,133,1,single_site_only,Eligible subjects come from only one site at this merged horizon.
