dataset,formula_id,formula_name,formula_label,formula_rhs,site_branch,interaction_branch,model_family,fit_engine,flexsurv_dist,model_class,model_id,strategy_family,anchor_horizon_year,tail_extrapolation_capable_flag,extrapolation_role,stage,validation_level,optimism_correction_method,analysis_time_variable,reporting_time_variable,event_definition,censoring_definition,time_range_score_type,time_range_discrimination_upper_time_year,converged,convergence_code,error_message,n_obs,n_event,n_parameter,logLik,AIC,BIC,last_event_time_year,last_followup_time_year,extrapolation_rule
PNU,PNU__base,base,Base,age_s + sex_num,site_free,no_age_sex_interaction,coxph,survival,NA,non_cure,PNU__base__coxph,coxph,1,0,observed_window_comparator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_1,1,TRUE,0,NA,54,12,2,-42.314673645105984,88.62934729021197,92.60731538334052,1.3388090349075976,2.6694045174537986,baseline_carried_forward_after_last_event
PNU,PNU__base,base,Base,age_s + sex_num,site_free,no_age_sex_interaction,exponential,flexsurv,exp,non_cure,PNU__base__exponential,exponential,1,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_1,1,TRUE,0,NA,54,12,3,-28.930367157957406,63.86073431591481,69.82768645560763,1.3388090349075976,2.6694045174537986,parametric_extrapolation
PNU,PNU__base,base,Base,age_s + sex_num,site_free,no_age_sex_interaction,loglogistic,flexsurv,llogis,non_cure,PNU__base__loglogistic,loglogistic,1,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_1,1,TRUE,0,NA,54,12,4,-28.106680778151503,64.213361556303,72.1692977425601,1.3388090349075976,2.6694045174537986,parametric_extrapolation
PNU,PNU__base,base,Base,age_s + sex_num,site_free,no_age_sex_interaction,lognormal,flexsurv,lnorm,non_cure,PNU__base__lognormal,lognormal,1,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_1,1,TRUE,0,NA,54,12,4,-27.948936747751812,63.897873495503624,71.85380968176072,1.3388090349075976,2.6694045174537986,parametric_extrapolation
PNU,PNU__base,base,Base,age_s + sex_num,site_free,no_age_sex_interaction,weibull,flexsurv,weibull,non_cure,PNU__base__weibull,weibull,1,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_1,1,TRUE,0,NA,54,12,4,-27.98608244650557,63.97216489301114,71.92810107926823,1.3388090349075976,2.6694045174537986,parametric_extrapolation
PNU,PNU__interaction,interaction,Interaction,age_s + sex_num + age_s:sex_num,site_free,age_sex_interaction,coxph,survival,NA,non_cure,PNU__interaction__coxph,coxph,1,0,observed_window_comparator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_1,1,TRUE,0,NA,54,12,3,-41.766415723746164,89.53283144749233,95.49978358718515,1.3388090349075976,2.6694045174537986,baseline_carried_forward_after_last_event
PNU,PNU__interaction,interaction,Interaction,age_s + sex_num + age_s:sex_num,site_free,age_sex_interaction,exponential,flexsurv,exp,non_cure,PNU__interaction__exponential,exponential,1,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_1,1,TRUE,0,NA,54,12,4,-28.3656051044479,64.7312102088958,72.6871463951529,1.3388090349075976,2.6694045174537986,parametric_extrapolation
PNU,PNU__interaction,interaction,Interaction,age_s + sex_num + age_s:sex_num,site_free,age_sex_interaction,loglogistic,flexsurv,llogis,non_cure,PNU__interaction__loglogistic,loglogistic,1,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_1,1,TRUE,0,NA,54,12,5,-27.502810326669323,65.00562065333864,74.95054088616001,1.3388090349075976,2.6694045174537986,parametric_extrapolation
PNU,PNU__interaction,interaction,Interaction,age_s + sex_num + age_s:sex_num,site_free,age_sex_interaction,lognormal,flexsurv,lnorm,non_cure,PNU__interaction__lognormal,lognormal,1,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_1,1,TRUE,0,NA,54,12,5,-27.395598813814082,64.79119762762816,74.73611786044954,1.3388090349075976,2.6694045174537986,parametric_extrapolation
PNU,PNU__interaction,interaction,Interaction,age_s + sex_num + age_s:sex_num,site_free,age_sex_interaction,weibull,flexsurv,weibull,non_cure,PNU__interaction__weibull,weibull,1,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_1,1,TRUE,0,NA,54,12,5,-27.43284772087797,64.86569544175595,74.81061567457732,1.3388090349075976,2.6694045174537986,parametric_extrapolation
SNU,SNU__base,base,Base,age_s + sex_num,site_free,no_age_sex_interaction,coxph,survival,NA,non_cure,SNU__base__coxph,coxph,2,0,observed_window_comparator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,208,38,2,-183.32428434746922,370.64856869493843,377.32364485434107,7.572895277207392,10.105407255304586,baseline_carried_forward_after_last_event
SNU,SNU__base,base,Base,age_s + sex_num,site_free,no_age_sex_interaction,exponential,flexsurv,exp,non_cure,SNU__base__exponential,exponential,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,208,38,3,-150.49659279994623,306.99318559989246,317.0057998389964,7.572895277207392,10.105407255304586,parametric_extrapolation
SNU,SNU__base,base,Base,age_s + sex_num,site_free,no_age_sex_interaction,loglogistic,flexsurv,llogis,non_cure,SNU__base__loglogistic,loglogistic,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,208,38,4,-147.27561697557468,302.55123395114936,315.9013862699546,7.572895277207392,10.105407255304586,parametric_extrapolation
