dataset,subgroup_kind,subgroup_value,group_id,panel_label,analysis_structure,preferred_for_reporting,reporting_priority,reporting_preference_note,horizon_year,interpretation_tier,interpretation_note,support_tier_standard,support_display_group,support_display_label,completeness_plot_status,completeness_plot_note,eligible_site_count,dominant_site,dominant_site_n,dominant_site_fraction,site_dominance_status,site_dominance_note,site_dominance_warning_flag,site_dominance_warning_note,eligible_n__remission_sensitive,eligible_n__transition_only,risk_set_n__remission_sensitive,risk_set_n__transition_only,cumulative_transition_n__remission_sensitive,cumulative_transition_n__transition_only,cumulative_remission_n__remission_sensitive,cumulative_remission_n__transition_only,cumulative_right_censoring_n__remission_sensitive,cumulative_right_censoring_n__transition_only,cumulative_censoring_n__remission_sensitive,cumulative_censoring_n__transition_only,cumulative_eventlike_n__remission_sensitive,cumulative_eventlike_n__transition_only,percentage_method__remission_sensitive,percentage_method__transition_only,CCI__remission_sensitive,CCI__transition_only,SPT__remission_sensitive,SPT__transition_only,instability_marker__remission_sensitive,instability_marker__transition_only
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,1,primary-supported,Common comparison horizon retained for cross-model comparability.,primary_supported,primary_supported,Primary supported,stable,Displayed without masking.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,47,47,28,28,8,8,3,3,15,15,15,18,11,8,0.8297872340425532,0.7659574468085106,0.8854216784658735,0.8619749410328039,0.9028936752734208,0.8798403891243243,stable_enough,stable_enough
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,2,sensitivity,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,sensitivity,secondary_or_sensitivity,Secondary / sensitivity,very_sparse,Displayed with caution: very sparse risk set.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,35,35,1,1,12,12,12,12,29,29,29,41,24,12,0.6285714285714286,0.3142857142857143,0.9360220632406748,0.8289763246354377,0.954180111469639,0.8616994230957267,very_sparse,very_sparse
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,3,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_risk_set,Masked in completeness plot because the risk set is zero at this horizon.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,8,8,0,0,12,12,13,13,29,29,29,42,25,12,1,0.5,1,0.6348071495766697,1,0.7785763175906913,no_risk_set,no_risk_set
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,4,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,0,0,0,0,12,12,13,13,29,29,29,42,25,12,NA,NA,NA,NA,NA,NA,no_eligible_subjects,no_eligible_subjects
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,5,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,0,0,0,0,12,12,13,13,29,29,29,42,25,12,NA,NA,NA,NA,NA,NA,no_eligible_subjects,no_eligible_subjects
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,6,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,0,0,0,0,12,12,13,13,29,29,29,42,25,12,NA,NA,NA,NA,NA,NA,no_eligible_subjects,no_eligible_subjects
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,7,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,0,0,0,0,12,12,13,13,29,29,29,42,25,12,NA,NA,NA,NA,NA,NA,no_eligible_subjects,no_eligible_subjects
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,8,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,0,0,0,0,12,12,13,13,29,29,29,42,25,12,NA,NA,NA,NA,NA,NA,no_eligible_subjects,no_eligible_subjects
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,9,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,0,0,0,0,12,12,13,13,29,29,29,42,25,12,NA,NA,NA,NA,NA,NA,no_eligible_subjects,no_eligible_subjects
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,10,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,0,0,0,0,12,12,13,13,29,29,29,42,25,12,NA,NA,NA,NA,NA,NA,no_eligible_subjects,no_eligible_subjects
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,1,primary-supported,Common comparison horizon retained for cross-model comparability.,primary_supported,primary_supported,Primary supported,stable,Displayed without masking.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,22,22,11,11,5,5,1,1,9,9,9,10,6,5,0.7727272727272727,0.7272727272727273,0.8592365106515315,0.8439802970712894,0.8873436624976668,0.8728766100429347,stable_enough,stable_enough
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,2,sensitivity,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,sensitivity,secondary_or_sensitivity,Secondary / sensitivity,masked_no_risk_set,Masked in completeness plot because the risk set is zero at this horizon.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,14,14,0,0,7,7,5,5,14,14,14,19,12,7,0.7142857142857143,0.35714285714285715,0.9182789041943972,0.7644140952135542,0.9483719565855091,0.8212085655617484,no_risk_set,no_risk_set
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,3,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_risk_set,Masked in completeness plot because the risk set is zero at this horizon.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,4,4,0,0,7,7,5,5,14,14,14,19,12,7,1,0.5,1,0.49710982658959546,1,0.6923340177960301,no_risk_set,no_risk_set
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,4,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,0,0,0,0,7,7,5,5,14,14,14,19,12,7,NA,NA,NA,NA,NA,NA,no_eligible_subjects,no_eligible_subjects
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,5,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,0,0,0,0,7,7,5,5,14,14,14,19,12,7,NA,NA,NA,NA,NA,NA,no_eligible_subjects,no_eligible_subjects
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,6,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,0,0,0,0,7,7,5,5,14,14,14,19,12,7,NA,NA,NA,NA,NA,NA,no_eligible_subjects,no_eligible_subjects
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,7,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,0,0,0,0,7,7,5,5,14,14,14,19,12,7,NA,NA,NA,NA,NA,NA,no_eligible_subjects,no_eligible_subjects
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,8,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,0,0,0,0,7,7,5,5,14,14,14,19,12,7,NA,NA,NA,NA,NA,NA,no_eligible_subjects,no_eligible_subjects
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,9,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,0,0,0,0,7,7,5,5,14,14,14,19,12,7,NA,NA,NA,NA,NA,NA,no_eligible_subjects,no_eligible_subjects
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,10,projection,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,projection,Projection,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,0,0,0,0,7,7,5,5,14,14,14,19,12,7,NA,NA,NA,NA,NA,NA,no_eligible_subjects,no_eligible_subjects
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.,1,primary-supported,Common comparison horizon retained for cross-model comparability.,primary_supported,primary_supported,Primary supported,stable,Displayed without masking.,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,25,25,17,17,3,3,2,2,6,6,6,8,5,3,0.88,0.8,0.9061653116531165,0.8760047633224174,0.916577686516085,0.8859685147159482,stable_enough,stable_enough
