check_name,status,observed_value,expected_value,detail
model_registry_row_count,pass,48,48,One registry row should exist per model in the Stage 8 grid.
model_registry_duplicate_model_id,pass,0,0,Model IDs must be unique in the model registry.
posterior_cohort_yearly_row_count,pass,480,480,Admissible models should contribute one cohort-level row per horizon.
posterior_classification_row_count,pass,1920,1920,Admissible models should contribute one threshold row per horizon and threshold.
ppc_summary_row_count,pass,480,480,Every model should contribute one PPC row per horizon.
posterior_cohort_yearly_duplicate_keys,pass,0,0,Each model-horizon key should appear at most once in the cohort-level table.
posterior_classification_duplicate_keys,pass,0,0,Each model-horizon-threshold key should appear at most once in the classification table.
ppc_summary_duplicate_keys,pass,0,0,Each model-horizon key should appear at most once in the PPC table.
posterior_cohort_yearly_missing_carryforward_metadata,pass,0,0,"Cohort-level output should retain screening, admissibility, and support metadata."
posterior_classification_missing_reporting_metadata,pass,0,0,Threshold-based output should retain estimability and reporting metadata.
posterior_delta_vs_nocure_missing_support_metadata,pass,0,0,Bayesian-vs-no-cure comparison rows should retain horizon support metadata.
diagnostic_pdf_exists,pass,TRUE,TRUE,"Diagnostic PDF should exist after the run, unless PDF generation was intentionally skipped."
