dataset,model_class,model_family,benchmark_id,benchmark_label,benchmark_scope,site_branch,subgroup_kind,subgroup_variable,subgroup_value_assigned,horizon_id,horizon_year,horizon_days,interpretation_tier,primary_supported_flag,interpretation_note,horizon_support_label,km_survival,km_risk,risk_assignment_rule,n_subjects_in_group
PNU,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_1,1,365.25,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,primary-supported,0.8301417412746598,0.16985825872534022,overall cohort-level KM risk applied to all subjects in the dataset,54
PNU,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_2,2,730.5,sensitivity,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,sensitivity,0.7011810830846984,0.2988189169153016,overall cohort-level KM risk applied to all subjects in the dataset,54
PNU,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_3,3,1095.75,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,0.7011810830846984,0.2988189169153016,overall cohort-level KM risk applied to all subjects in the dataset,54
PNU,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_4,4,1461,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,0.7011810830846984,0.2988189169153016,overall cohort-level KM risk applied to all subjects in the dataset,54
PNU,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_5,5,1826.25,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,0.7011810830846984,0.2988189169153016,overall cohort-level KM risk applied to all subjects in the dataset,54
PNU,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_6,6,2191.5,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,0.7011810830846984,0.2988189169153016,overall cohort-level KM risk applied to all subjects in the dataset,54
PNU,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_7,7,2556.75,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,0.7011810830846984,0.2988189169153016,overall cohort-level KM risk applied to all subjects in the dataset,54
PNU,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_8,8,2922,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,0.7011810830846984,0.2988189169153016,overall cohort-level KM risk applied to all subjects in the dataset,54
PNU,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_9,9,3287.25,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,0.7011810830846984,0.2988189169153016,overall cohort-level KM risk applied to all subjects in the dataset,54
PNU,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_10,10,3652.5,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,0.7011810830846984,0.2988189169153016,overall cohort-level KM risk applied to all subjects in the dataset,54
SNU,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_1,1,365.25,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,primary-supported,0.927245975381002,0.07275402461899805,overall cohort-level KM risk applied to all subjects in the dataset,208
SNU,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_2,2,730.5,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,primary-supported,0.8784708917118653,0.12152910828813468,overall cohort-level KM risk applied to all subjects in the dataset,208
SNU,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_3,3,1095.75,secondary,FALSE,Common comparison horizon retained for cross-model comparability.,secondary,0.8310292675945457,0.16897073240545435,overall cohort-level KM risk applied to all subjects in the dataset,208
