file_name,object_name,description,file_path,file_path_relative
stage2_site_admin_end_dates.csv,site_admin_lookup,Site-specific administrative end dates used for merged completeness recalculation,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage2/attachments/stage2_site_admin_end_dates.csv,stage2_site_admin_end_dates.csv
stage2_reverse_km_summary.csv,reverse_km_summary,Group-level reverse Kaplan-Meier follow-up summaries with max observed and potential follow-up windows,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage2/attachments/stage2_reverse_km_summary.csv,stage2_reverse_km_summary.csv
stage2_numbers_at_risk.csv,numbers_at_risk_data,"Numbers-at-risk table at 0, 1, ..., 10 years with standardized support-display fields",/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage2/attachments/stage2_numbers_at_risk.csv,stage2_numbers_at_risk.csv
stage2_followup_composition.csv,composition_data,Event/censoring/remission composition over time,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage2/attachments/stage2_followup_composition.csv,stage2_followup_composition.csv
stage2_merged_site_contribution.csv,site_contribution_data,Merged overall/sex horizon-level site contribution table showing eligible counts by site and descriptive dominance status,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage2/attachments/stage2_merged_site_contribution.csv,stage2_merged_site_contribution.csv
stage2_followup_horizon_summary.csv,horizon_summary,"Horizon-specific follow-up maturity table with support-tier fields, late-horizon site-dominance warning fields, plot-masking flags, and preferred_for_reporting fields that prioritize merged site_adjusted completeness",/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage2/attachments/stage2_followup_horizon_summary.csv,stage2_followup_horizon_summary.csv
stage2_followup_maturity_long.csv,followup_maturity_long,Long-format horizon-level follow-up maturity table without repeated group-level reverse-KM fields,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage2/attachments/stage2_followup_maturity_long.csv,stage2_followup_maturity_long.csv
stage2_followup_side_by_side.csv,followup_side_by_side,Transition-only and remission-sensitive horizon summaries saved side by side without repeated group-level reverse-KM fields and with preferred-reporting markers,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage2/attachments/stage2_followup_side_by_side.csv,stage2_followup_side_by_side.csv
stage2_followup_curve_data.csv,curve_plot_data,"Curve-level source-of-truth data for KM, reverse KM, numbers-at-risk, and event/censoring/remission composition plots",/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage2/attachments/stage2_followup_curve_data.csv,stage2_followup_curve_data.csv
stage2_followup_completeness_plot_data.csv,completeness_plot_data,"Explicit source-of-truth data frame for the completeness plot, derived from the horizon summary and carrying preferred-reporting markers",/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage2/attachments/stage2_followup_completeness_plot_data.csv,stage2_followup_completeness_plot_data.csv
stage2_metadata_registry.csv,stage2_metadata_registry,Stage 2 metadata registry,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage2/attachments/stage2_metadata_registry.csv,stage2_metadata_registry.csv
stage2_validation_summary.csv,validation_summary,Pass/fail summary of Stage 2 validation checks,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage2/attachments/stage2_validation_summary.csv,stage2_validation_summary.csv
stage2_validation_issue_rows.csv,validation_issue_rows,Issue-level rows for Stage 2 validation checks; empty when all validations pass,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage2/attachments/stage2_validation_issue_rows.csv,stage2_validation_issue_rows.csv
stage2_quality_flags.csv,quality_flags,"Non-fatal sparse-tail, masking, reverse-KM CI, and gated merged site-dominance caution flags",/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage2/attachments/stage2_quality_flags.csv,stage2_quality_flags.csv
stage2_followup_bundle.rds,stage2_followup_bundle,Reusable patched Stage 2 follow-up maturity bundle,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage2/attachments/stage2_followup_bundle.rds,stage2_followup_bundle.rds
stage2_followup_plots.pdf,stage2_followup_plots,Stage 2 follow-up maturity plots for overall and site panels,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage2/attachments/stage2_followup_plots.pdf,stage2_followup_plots.pdf
stage2_export_manifest.csv,export_manifest,Manifest of all Stage 2 exported files,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage2/attachments/stage2_export_manifest.csv,stage2_export_manifest.csv
stage2_run_log.txt,stage2_run_log,Plain-text run log reporting the user-specified input/output paths and export confirmation,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage2/attachments/stage2_run_log.txt,stage2_run_log.txt
stage2_followup_plots_sex.pdf,stage2_followup_plots_sex,Stage 2 follow-up maturity plots for sex panels,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage2/attachments/stage2_followup_plots_sex.pdf,stage2_followup_plots_sex.pdf
